id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-971478,2019-02-20,000001,Vente,146000,59,,RUE DANJOU,2520,92100,92012,Boulogne-Billancourt,92,,,92012000BM0067,,,113,,,,,,,,,,1,2,Appartement,14,1,,,,,,2.249673,48.831253
2019-971479,2019-02-19,000001,Vente,390000,180,,RUE GALLIENI,4110,92100,92012,Boulogne-Billancourt,92,,,92012000AD0074,,,11,51.15,28,,,,,,,,2,2,Appartement,50,2,,,,,,2.231244,48.83563
2019-971482,2019-02-20,000001,Vente,34000000,7,,PL RENE CLAIR,1438,92100,92012,Boulogne-Billancourt,92,,,92012000BQ0146,,58,,,,,,,,,,,0,,,,,,,,,,2.256733,48.834374
2019-971482,2019-02-20,000001,Vente,34000000,7,,PL RENE CLAIR,1438,92100,92012,Boulogne-Billancourt,92,,,92012000BQ0146,,59,,,,,,,,,,,0,,,,,,,,,,2.256733,48.834374
2019-971483,2019-02-26,000001,Vente,162500,11,,RUE BARTHOLDI,0630,92100,92012,Boulogne-Billancourt,92,,,920120000R0043,,,25,16.77,,,,,,,,,1,2,Appartement,12,1,,,,,,2.242645,48.845037
2019-971486,2019-02-28,000001,Vente,364850,23,,RUE ANNA JACQUIN,0130,92100,92012,Boulogne-Billancourt,92,,,920120000C0029,,,24,,4,39.37,,,,,,,2,2,Appartement,38,1,,,,,,2.229454,48.844736
2019-971487,2019-02-11,000001,Vente,273000,52,,RUE DE SEVRES,8555,92100,92012,Boulogne-Billancourt,92,,,92012000AI0019,,,19,,76,,,,,,,,2,2,Appartement,39,2,,,,,,2.228308,48.834002
2019-971489,2019-02-15,000001,Vente,630000,72,,RUE MARCEL DASSAULT,6147,92100,92012,Boulogne-Billancourt,92,,,92012000AU0129,,,10022,73.45,10077,,,,,,,,2,2,Appartement,74,3,,,,,,2.249434,48.834371
2019-971489,2019-02-15,000001,Vente,630000,72,,RUE MARCEL DASSAULT,6147,92100,92012,Boulogne-Billancourt,92,,,92012000AU0129,,,10141,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.249434,48.834371
2019-971491,2019-02-25,000001,Vente,22000,39,,RUE MARCEL DASSAULT,6147,92100,92012,Boulogne-Billancourt,92,,,92012000BO0069,,,163,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.253174,48.835398
2019-971493,2019-02-04,000001,Vente,472000,76,,AV GAL LECLERC,4135,92100,92012,Boulogne-Billancourt,92,,,92012000AN0030,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.237026,48.832003
2019-971493,2019-02-04,000001,Vente,472000,76,,AV GAL LECLERC,4135,92100,92012,Boulogne-Billancourt,92,,,92012000AN0030,,,25,62.1,8,,,,,,,,2,2,Appartement,60,3,,,,,,2.237026,48.832003
2019-971494,2019-02-21,000001,Vente,98000,120,,RUE VIEUX PONT DE SEVRES,9670,92100,92012,Boulogne-Billancourt,92,,,92012000AU0013,,,15,9.97,,,,,,,,,1,2,Appartement,10,1,,,,,,2.244716,48.832654
2019-971495,2019-02-14,000001,Vente,15000,12,,RUE MAX BLONDAT,6195,92100,92012,Boulogne-Billancourt,92,,,920120000U0007,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.247097,48.844152
2019-971501,2019-02-13,000001,Vente,335000,85,,RUE DE BELLEVUE,0651,92100,92012,Boulogne-Billancourt,92,,,92012000AK0145,,,2,48.17,28,,,,,,,,2,4,Local industriel. commercial ou assimilé,27,0,,,,,,2.231312,48.834306
2019-971502,2019-02-20,000001,Vente,37000,58,,AV GAL LECLERC,4135,92100,92012,Boulogne-Billancourt,92,,,92012000AP0152,,,821,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.23824,48.832326
2019-971502,2019-02-20,000001,Vente,37000,58,,AV GAL LECLERC,4135,92100,92012,Boulogne-Billancourt,92,,,92012000AP0152,,,822,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.23824,48.832326
2019-971509,2019-02-15,000001,Vente,312400,44,,RUE DES PEUPLIERS,7195,92100,92012,Boulogne-Billancourt,92,,,92012000BO0031,,,19,34.54,31,,,,,,,,2,2,Appartement,32,2,,,,,,2.25491,48.834322
